Fecha_hecho;Conducta;Cantidad_casos
2003-01;Extorsión;23
2003-02;Extorsión;15
2003-03;Extorsión;9
2003-04;Extorsión;11
2003-05;Extorsión;9
2003-06;Extorsión;7
2003-07;Extorsión;12
2003-08;Extorsión;12
2003-09;Extorsión;7
2003-10;Extorsión;11
2003-11;Extorsión;17
2003-12;Extorsión;11
2004-01;Extorsión;15
2004-02;Extorsión;12
2004-03;Extorsión;8
2004-04;Extorsión;14
2004-05;Extorsión;7
2004-06;Extorsión;7
2004-07;Extorsión;7
2004-08;Extorsión;12
2004-09;Extorsión;9
2004-10;Extorsión;5
2004-11;Extorsión;6
2004-12;Extorsión;3
2005-01;Extorsión;5
2005-02;Extorsión;5
2005-03;Extorsión;8
2005-04;Extorsión;2
2005-05;Extorsión;5
2005-06;Extorsión;3
2005-07;Extorsión;12
2005-08;Extorsión;5
2005-09;Extorsión;3
2005-10;Extorsión;5
2005-11;Extorsión;5
2005-12;Extorsión;10
2006-01;Extorsión;1
2006-02;Extorsión;5
2006-03;Extorsión;10
2006-04;Extorsión;6
2006-05;Extorsión;9
2006-06;Extorsión;4
2006-07;Extorsión;8
2006-08;Extorsión;4
2006-09;Extorsión;4
2006-10;Extorsión;4
2006-11;Extorsión;2
2006-12;Extorsión;5
2007-01;Extorsión;6
2007-03;Extorsión;3
2007-04;Extorsión;6
2007-05;Extorsión;6
2007-06;Extorsión;4
2007-07;Extorsión;2
2007-08;Extorsión;6
2007-09;Extorsión;8
2007-10;Extorsión;4
2007-12;Extorsión;5
2008-01;Extorsión;3
2008-02;Extorsión;4
2008-03;Extorsión;4
2008-04;Extorsión;3
2008-05;Extorsión;4
2008-06;Extorsión;2
2008-07;Extorsión;7
2008-08;Extorsión;5
2008-09;Extorsión;2
2008-10;Extorsión;2
2008-11;Extorsión;2
2008-12;Extorsión;4
2009-01;Extorsión;10
2009-02;Extorsión;11
2009-03;Extorsión;16
2009-04;Extorsión;8
2009-05;Extorsión;11
2009-06;Extorsión;5
2009-07;Extorsión;10
2009-08;Extorsión;5
2009-09;Extorsión;14
2009-10;Extorsión;11
2009-11;Extorsión;7
2009-12;Extorsión;7
2010-01;Extorsión;25
2010-02;Extorsión;16
2010-03;Extorsión;21
2010-04;Extorsión;15
2010-05;Extorsión;9
2010-06;Extorsión;16
2010-07;Extorsión;12
2010-08;Extorsión;15
2010-09;Extorsión;7
2010-10;Extorsión;6
2010-11;Extorsión;7
2010-12;Extorsión;4
2011-01;Extorsión;13
2011-02;Extorsión;10
2011-03;Extorsión;9
2011-04;Extorsión;9
2011-05;Extorsión;11
2011-06;Extorsión;17
2011-07;Extorsión;26
2011-08;Extorsión;20
2011-09;Extorsión;37
2011-10;Extorsión;20
2011-11;Extorsión;14
2011-12;Extorsión;11
2012-01;Extorsión;12
2012-02;Extorsión;23
2012-03;Extorsión;27
2012-04;Extorsión;12
2012-05;Extorsión;18
2012-06;Extorsión;15
2012-07;Extorsión;22
2012-08;Extorsión;12
2012-09;Extorsión;19
2012-10;Extorsión;25
2012-11;Extorsión;12
2012-12;Extorsión;12
