año;codigo_dane;establecimiento educativo;prestacion_servicio;comuna_establecimiento;gestion_administrativa;gestion_academica;gestion;total;desarrollo
2018;105001000001;inst educ jose maria velaz;oficial;2;15.75;31.2;9.75;56.7;básico con tendencia a alto
2018;105001000043;inst educ barrio santa cruz;oficial;2;14.83;31.5;11.5;57.83;básico con tendencia a alto
2018;105001000108;inst educ centro formativo de antioquia - cefa;oficial;10;22.5;60;15.5;98;superior
2018;105001000132;inst educ jose maria bernal;oficial;16;22.25;60;16;98.25;superior
2018;105001000141;inst educ camilo torres restrepo;oficial;4;19.02;50.75;14.35;84.13;alto
2018;105001000175;inst educ gabriel restrepo moreno;oficial;3;17.96;43.05;10.85;71.86;alto
2018;105001000205;inst educ san agustin;oficial;4;9.98;28;7.5;45.48;básico
2018;105001000256;inst educ hector abad gomez;oficial;10;13.55;39.73;12.25;65.53;alto con tendencia a básico
2018;105001000353;inst educ juan de la cruz posada;oficial;8;12.2;27.38;9.9;49.48;básico
2018;105001000396;inst educ jose acevedo y gomez;oficial;15;16.27;42.83;11.5;70.6;alto
2018;105001000418;inst educ la milagrosa;oficial;9;9.3;30.48;8.3;48.08;básico
2018;105001000485;inst educ la salle de campoamor;oficial;15;22.5;54.25;16.25;93;superior
2018;105001000493;inst educ ramon giraldo ceballos;oficial;16;12.75;35.83;8.4;56.98;básico con tendencia a alto
2018;105001000566;inst educ caracas;oficial;8;20.38;44.5;12.6;77.47;alto
2018;105001000621;inst educ escuela normal superior de medellin;oficial;8;17.15;41.23;10.75;69.13;alto con tendencia a básico
2018;105001000795;inst educ alfredo cock arango;oficial;6;20.88;49;14.5;84.38;alto
2018;105001000809;inst educ perpetuo socorro;oficial;13;18.14;38.7;13.9;70.74;alto
2018;105001000841;inst educ jesus maria el rosal;oficial;5;20.09;47.53;12.9;80.51;alto
2018;105001000876;inst educ javiera londoño-sevilla;oficial;4;18.31;29.35;10.25;57.91;básico con tendencia a alto
2018;105001000931;inst educ diego echavarria misas;oficial;5;14.69;40.95;9.3;64.94;alto con tendencia a básico
2018;105001000981;inst educ gilberto alzate avendaño;oficial;4;15.1;37.42;10.15;62.68;alto con tendencia a básico
2018;105001000990;inst educ gonzalo restrepo jaramillo;oficial;9;16.76;44.43;10.35;71.54;alto
2018;105001001023;inst educ antonio ricaurte;oficial;16;17.55;45.1;11.6;74.25;alto
2018;105001001121;inst educ jose roberto vasquez;oficial;3;12.2;27.65;7.75;47.6;básico
2018;105001001155;inst educ san juan bautista de la salle;oficial;3;19.06;46.23;11.75;77.04;alto
2018;105001001163;inst educ la asuncion;oficial;2;18.46;40.38;11.25;70.09;alto
2018;105001001198;inst educ aures;oficial;7;17.4;45;9.6;72;alto
2018;105001001236;inst educ montecarlo -  guillermo gaviria correa;oficial;3;18.5;42.6;8.65;69.75;alto con tendencia a básico
2018;105001001252;inst educ cristobal colon;oficial;12;17.71;39.15;9.6;66.46;alto con tendencia a básico
2018;105001001279;inst educ ciro mendia;oficial;2;14.6;30.25;11.45;56.3;básico con tendencia a alto
2018;105001001317;inst educ madre maria mazarello;oficial;9;18.52;50.6;13.1;82.23;alto
2018;105001001368;inst educ alvaro marin velasco;oficial;3;13.35;42.93;8.6;64.88;alto con tendencia a básico
2018;105001001473;inst educ manuela beltran;oficial;3;13.05;33.13;9.45;55.63;básico con tendencia a alto
2018;105001001490;inst educ lola gonzalez;oficial;12;14.78;35.4;11.8;61.98;alto con tendencia a básico
2018;105001001562;inst educ javiera londoño;oficial;10;17.96;46.75;13.15;77.86;alto
2018;105001001635;inst educ yermo y parres;oficial;16;23;51.15;12.6;86.75;alto con tendencia a superior
2018;105001001651;inst educ jose celestino mutis;oficial;8;13.68;38.1;10.6;62.38;alto con tendencia a básico
2018;105001001660;inst educ jose antonio galan;oficial;3;13.05;25.35;6.4;44.8;básico
2018;105001001716;inst educ santa catalina de sena;oficial;14;20.13;45.95;12.55;78.63;alto
2018;105001001791;inst educ gerardo valencia cano;oficial;7;12.9;32.7;11.15;56.75;básico con tendencia a alto
