año;codigo_dane;establecimiento_educativo;sector_educativo;comuna;grado;area;promedio;promedio_establecimiento;desviacion;nivel_superior;nivel_minimo;nivel_satisfactorio;nivel_avanzado
2017;105001000001;inst educ jose maria velaz;oficial;2;5;matemáticas;286;2.4;58;51;28;15;6
2017;105001000001;inst educ jose maria velaz;oficial;2;5;lenguaje;312;2.4;58;11;46;33;11
2017;105001000001;inst educ jose maria velaz;oficial;2;3;lenguaje;292;3;50;21;48;23;9
2017;105001000001;inst educ jose maria velaz;oficial;2;9;matemáticas;292;4.9;58;21;63;14;2
2017;105001000001;inst educ jose maria velaz;oficial;2;3;matemáticas;265;3.1;51;39;44;12;6
2017;105001000001;inst educ jose maria velaz;oficial;2;9;lenguaje;310;5;58;7;51;39;4
2017;105001000043;inst educ barrio santa cruz;oficial;2;3;matemáticas;259;2.8;42;45;39;16;0
2017;105001000043;inst educ barrio santa cruz;oficial;2;3;lenguaje;273;2.7;42;36;44;19;1
2017;105001000043;inst educ barrio santa cruz;oficial;2;9;matemáticas;273;5.6;50;35;61;2;2
2017;105001000043;inst educ barrio santa cruz;oficial;2;5;matemáticas;255;2.6;53;66;27;3;3
2017;105001000043;inst educ barrio santa cruz;oficial;2;9;lenguaje;290;6.9;62;17;52;26;4
2017;105001000043;inst educ barrio santa cruz;oficial;2;5;lenguaje;286;2.4;49;19;54;25;2
2017;105001000132;inst educ jose maria bernal;oficial;16;5;matemáticas;281;0;63;54;23;16;7
2017;105001000132;inst educ jose maria bernal;oficial;16;3;lenguaje;335;1.3;62;9;30;32;29
2017;105001000132;inst educ jose maria bernal;oficial;16;9;lenguaje;351;3.5;55;0;26;61;13
2017;105001000132;inst educ jose maria bernal;oficial;16;9;matemáticas;334;3.9;60;6;54;33;7
2017;105001000132;inst educ jose maria bernal;oficial;16;5;lenguaje;315;0;76;15;41;27;18
2017;105001000132;inst educ jose maria bernal;oficial;16;3;matemáticas;317;1.3;64;20;26;25;29
2017;105001000141;inst educ camilo torres restrepo;oficial;4;9;matemáticas;289;3.8;54;28;50;22;0
2017;105001000141;inst educ camilo torres restrepo;oficial;4;5;lenguaje;311;4.5;54;8;46;41;5
2017;105001000141;inst educ camilo torres restrepo;oficial;4;5;matemáticas;320;3.8;46;15;46;31;8
2017;105001000141;inst educ camilo torres restrepo;oficial;4;3;matemáticas;299;6.1;45;16;53;25;6
2017;105001000141;inst educ camilo torres restrepo;oficial;4;9;lenguaje;317;3.8;54;9;41;46;4
2017;105001000141;inst educ camilo torres restrepo;oficial;4;3;lenguaje;304;5.4;39;6;50;34;9
2017;105001000167;col la pastora-en administracion (ac);contratacion;1;3;lenguaje;332;8;57;9;9;55;27
2017;105001000167;col la pastora-en administracion (ac);contratacion;1;3;matemáticas;303;4.9;35;12;27;61;0
2017;105001000167;col la pastora-en administracion (ac);contratacion;1;5;matemáticas;290;2.8;46;42;42;16;0
2017;105001000167;col la pastora-en administracion (ac);contratacion;1;5;lenguaje;330;2.7;45;4;27;60;9
2017;105001000175;inst educ gabriel restrepo moreno;oficial;3;3;matemáticas;277;2.4;53;27;40;28;5
2017;105001000175;inst educ gabriel restrepo moreno;oficial;3;9;matemáticas;273;4.9;55;40;48;10;2
2017;105001000175;inst educ gabriel restrepo moreno;oficial;3;3;lenguaje;298;2.5;54;19;46;25;11
2017;105001000175;inst educ gabriel restrepo moreno;oficial;3;5;matemáticas;281;3.6;56;48;33;18;1
2017;105001000175;inst educ gabriel restrepo moreno;oficial;3;9;lenguaje;287;4.9;55;15;55;30;0
2017;105001000175;inst educ gabriel restrepo moreno;oficial;3;5;lenguaje;304;3.4;52;9;53;29;9
2017;105001000205;inst educ san agustin;oficial;4;5;lenguaje;269;2.2;57;30;51;15;5
2017;105001000205;inst educ san agustin;oficial;4;5;matemáticas;241;2;51;86;7;3;3
2017;105001000205;inst educ san agustin;oficial;4;3;lenguaje;302;3;49;19;41;32;9
2017;105001000205;inst educ san agustin;oficial;4;3;matemáticas;280;3.3;53;26;49;19;6
2017;105001000205;inst educ san agustin;oficial;4;9;lenguaje;323;0;55;6;34;56;4
2017;105001000205;inst educ san agustin;oficial;4;9;matemáticas;296;0;55;26;56;17;1
2017;105001000256;inst educ hector abad gomez;oficial;10;5;lenguaje;299;3.2;58;18;50;23;10
2017;105001000256;inst educ hector abad gomez;oficial;10;9;matemáticas;287;4.8;57;28;51;19;2
2017;105001000256;inst educ hector abad gomez;oficial;10;9;lenguaje;313;4.8;57;9;42;47;3
2017;105001000256;inst educ hector abad gomez;oficial;10;3;lenguaje;312;5.2;54;16;34;32;18
2017;105001000256;inst educ hector abad gomez;oficial;10;3;matemáticas;291;4.9;51;18;38;33;11
2017;105001000256;inst educ hector abad gomez;oficial;10;5;matemáticas;261;3.2;56;68;22;6;4
2017;105001000353;inst educ juan de la cruz posada;oficial;8;5;matemáticas;270;2.1;58;63;23;10;4
2017;105001000353;inst educ juan de la cruz posada;oficial;8;9;lenguaje;325;5.2;57;6;35;54;5
2017;105001000353;inst educ juan de la cruz posada;oficial;8;9;matemáticas;289;5;55;25;61;12;1
2017;105001000353;inst educ juan de la cruz posada;oficial;8;5;lenguaje;318;2.2;61;10;37;39;14
2017;105001000353;inst educ juan de la cruz posada;oficial;8;3;matemáticas;289;3;63;23;40;22;15
2017;105001000353;inst educ juan de la cruz posada;oficial;8;3;lenguaje;316;2.8;60;12;38;28;23
2017;105001000396;inst educ jose acevedo y gomez;oficial;15;9;lenguaje;302;4.7;56;9;51;36;4
2017;105001000396;inst educ jose acevedo y gomez;oficial;15;5;lenguaje;299;3;59;20;42;31;7
2017;105001000396;inst educ jose acevedo y gomez;oficial;15;9;matemáticas;279;4.7;57;39;48;12;1
2017;105001000396;inst educ jose acevedo y gomez;oficial;15;3;lenguaje;290;4.2;52;22;45;23;10
2017;105001000396;inst educ jose acevedo y gomez;oficial;15;3;matemáticas;302;4.9;62;20;37;23;20
